"caption","url","ownerFullName","ownerUsername","timestamp","locationName","likesCount","commentsCount"
"⛔️ STOP GENOCIDE ⛔️

@ahmad_srour 
@radioblissjo

⛔️ STOP GENOCIDE ⛔️

#stopgenocide
#stopwar
#stopwarcrimes
#palestine 
#peace
#gazaunderattack","https://www.instagram.com/p/Czd5pNtInC7/","Lucy","nature_lucy_","2023-11-10T13:28:15.000Z","Gaza Strip","1","0"
"#freepalestine #savegaza #prayforpalestine #ceasfirenow #stopwar #stopgenocide #middleeast #war #prayforisrael (to disappear) #Gaza #palestine #westbank #jerusalem #gazaunderattack","https://www.instagram.com/p/Czd7EkKqmQw/","","sayamahutidur","2023-11-10T13:40:43.000Z",,"0","0"
"One day, I truly hope our future generations don’t need to face any wars anywhere on the planet. 

#veteransday #veteransupport #veteran #peace #worldpeace #difference #politics #stopwar #save #hope #future #futuregenerations #kids #child #heal #war #thankyou","https://www.instagram.com/p/Czd6tMzLeXC/","Nao Hosaka","now.hosaka.cre","2023-11-10T13:37:32.000Z",,"1","0"
"Ti auguro di vivere
senza lasciarti comprare dal denaro.
Ti auguro di vivere
senza marca, senza etichetta,
senza distinzione,
senza altro nome
che quello di uomo.
Ti auguro di vivere
senza rendere nessuno tua vittima.
#Ti auguro di vivere
#JeanDebruynne
#StopWar","https://www.instagram.com/p/Czd5dBrqTWr/","Gulp Iglesias","gulpiglesias","2023-11-10T13:26:35.000Z",,"2","0"
"🗣 Po raz pierwszy w historii Rosja nie została wybrana do Międzynarodowego Trybunału Sprawiedliwości ONZ –powiedział  Zełenski

„ONZ zaczęła oczyszczać się ze złośliwego wpływu Rosji… Świat widzi, kto niszczy prawo międzynarodowe, a nie je chroni” – powiedział prezydent.

🗣 For the first time in history Russia has not been elected to the UN International Court of Justice - said Zelenski

""The UN has begun to cleanse itself of Russia's malign influence... The world can see who is destroying international law rather than protecting it,"" the president said.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd57_UI7T-/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:30:49.000Z",,"2","0"
"🇦🇪 Zjednoczone Emiraty Arabskie zgodziły się ograniczyć reeksport z UE do Rosji części, które można wykorzystać do celów wojskowych –pisze Bloomberg 

Według rozmówców agencji, w tym tygodniu Komisja Europejska poinformowała państwa członkowskie UE o takim posunięciu. Podobną decyzję rozważa także Turcja.

🇦🇪 The UAE has agreed to limit re-exports from the EU to Russia of parts that can be used for military purposes, writes Bloomberg 

According to the agency's interlocutors, the European Commission informed EU member states of such a move this week. Turkey is also considering a similar decision.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd6rrhosGB/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:37:19.000Z",,"3","0"
"Dalam rangka upaya ikut serta menyuarakan hari nurani dalam kaitanya dalam martabat luhur manusia dan budaya kehidupan bab III A dan B, maka inilah ajakan kami pada dunia untuk menyuarakan anti kekerasan (tugas ajakan anti kekerasan) 🙅💣💥

Sesuai urutan slide :
1. Darren 9E / 27
2. Thea 9E / 29
3. Glenn 9E / 13
4. Naya 9E / 10
5. Dimas 9E / 22

@adimbahgendheng #pendidikan #domenicosavio #stopwar #stopkekerasan #luarbasa #pendidikankarakter","https://www.instagram.com/p/Czd5GICy3hR/","𝟗𝐄","9excellent.domsav","2023-11-10T13:23:27.000Z",,"13","3"
"Pakiety pomocy wojskowej dla Ukrainy z USA będą coraz mniejsze —pisze  Pentagon.

Kraj będzie nadal przeznaczał środki. Departament Obrony wzywa jednak Kongres do przyjęcia wniosku prezydenta Joe Bidena o dodatkowe fundusze . W ten sposób USA będą mogły zaspokoić potrzeby Ukrainy na polu bitwy.

Military aid packages to Ukraine from the US will become smaller and smaller - Pentagon writes.

The country will continue to commit funds. However, the Department of Defence is calling on Congress to approve President Joe Biden's request for additional funds . In this way, the US will be able to meet Ukraine's needs on the battlefield.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd5UPPofqU/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:25:23.000Z",,"3","0"
"How will these children live well after everything they have seen?#Ga💔za #Gaza 

#savegaza #stand_whit_palestine #stopgenocideingaza #stopthewaronchildren #stopwar #stopthewar #savepalestine #humanity #غزة_تحت_القصف #غزة_تتعرض_لإبادة_جماعية #غزة_تُباد #غزة #انقذوا_غزة","https://www.instagram.com/p/Czd4ynksoil/","Bouchra Majde","bouchramajde1","2023-11-10T13:20:48.000Z",,"1","0"
"❗️ To już oficjalne: Joe Biden spotka się z Xi Jinpingiem w San Francisco

Informacja została potwierdzona w Białym Domu. Przywódcy odbędą osobiste spotkanie 15 listopada.

Strony omówią kwestie dwustronnych stosunków między Stanami Zjednoczonymi a Chińską Republiką Ludową, ciągłe znaczenie utrzymywania otwartych linii komunikacji, a także szereg kwestii regionalnych i globalnych.

❗️ It's official: Joe Biden will meet Xi Jinping in San Francisco

The information has been confirmed at the White House. The leaders will hold a personal meeting on 15 November.

The two sides will discuss bilateral relations between the United States and the People's Republic of China, the continued importance of keeping lines of communication open, as well as a range of regional and global issues.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd60HwoR0c/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:38:28.000Z",,"4","0"
"⚡️ Wielka Brytania w ramach operacji Interflex przeszkoliła wcześniej 30 000 ukraińskich żołnierzy – powiedział Minister Obrony Grant Shapps.

Szkolenie zakończyło się 7 tygodni wcześniej. Jest to największy tego typu program wojskowy na ziemi brytyjskiej od czasów drugiej wojny światowej.

Interflex obejmuje szkolenie nowo zmobilizowanych i ochotników: posiadanie broni, umiejętności bojowe, pomoc medyczna + zaawansowane szkolenie marines.

⚡️ The UK had previously trained 30,000 Ukrainian troops as part of Operation Interflex, Defence Minister Grant Shapps said.

The training ended seven weeks early. It is the largest military programme of its kind on British soil since the Second World War.

Interflex includes training for newly mobilised and volunteers: weapons possession, combat skills, medical support + advanced marines training.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd5ymyIC1w/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:29:32.000Z",,"7","0"
"Dalam rangka upaya ikut serta menyuarakan hari nurani dalam kaitanya dalam martabat luhur manusia dan budaya kehidupan bab III A dan B, maka inilah ajakan kami pada dunia untuk menyuarakan anti kekerasan (tugas ajakan anti kekerasan) 🙅💣💥

Sesuai urutan 2slide :
1. Fivel 9E / 1
2. Sher 9E / 30
3. Vano 9E / 8
4. Samuel 9E / 26
5. Felicya 9E / 11

@adimbahgendheng #pendidikan #domenicosavio #stopwar #stopkekerasan #luarbasa #pendidikankarakter","https://www.instagram.com/p/Czd4qb_y2yd/","𝟗𝐄","9excellent.domsav","2023-11-10T13:19:41.000Z",,"8","0"
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.” ― John Lennon

Ready to be around the city!

#peace #stopwar #origamiforpeace #thesmileorigami #origamiart #origami #johnlennon #beatles","https://www.instagram.com/p/Czd4aknoI9-/","The Smile Origami For Peace","thesmileorigami","2023-11-10T13:17:31.000Z","Stockholm, Sweden","3","0"
"❗️Wojna może trwać bardzo długo — Scholz

„Obecnie nic nie wskazuje na to, aby Rosja przerwała wojnę z Ukrainą. Musimy być przygotowani, że wojna Federacji Rosyjskiej z Ukrainą może trwać bardzo długo” – powiedział kanclerz Niemiec.

Jednocześnie zauważył, że wojna trwa znacznie dłużej, niż sobie wyobrażał Putin.

❗️Wojna could last a very long time - Scholz

""There is currently no indication that Russia will stop its war with Ukraine. We must be prepared that the war of the Russian Federation against Ukraine could last for a very long time,"" - said the German Chancellor.

At the same time, he noted that the war is lasting much longer than Putin imagined.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd5EY1IWGO/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:23:13.000Z",,"6","0"
"#stopwar","https://www.instagram.com/p/Czd4FN8NMmp/","","topfeet2023","2023-11-10T13:14:36.000Z",,"0","0"
"Korea Północna może dodatkowo dostarczać Federacji Rosyjskiej swoje precyzyjne systemy rakietowe do celów artyleryjskich i rakietowych podają przedstawiciele Ministerstwa Obrony Korei Południowej

W szczególności kompleksy rakietowe z zachodnimi oznaczeniami:
📍 KN-23 (właściwie klon kompleksu rakiet operacyjno-taktycznych Iskander-M, zasięg szacowany jest na aż 600 km);
📍 KN-24 (klon amerykańskiego systemu rakiet operacyjno-taktycznych ATACMS, znany zasięg testowy to aż 410 km);
📍 Duże, precyzyjne rakiety o szacowanym zasięgu do 380 km (na zdjęciu).

Od sierpnia przez północnokoreański port Rason wysłano do Rosji ok. 2 tys. kontenerów z amunicją. Możliwe jest również, że KRLD wysłała pociski do dział starych czołgów T-55 i T-62.

North Korea may additionally supply the Russian Federation with its precision missile systems for artillery and rocket targets, according to South Korean Defence Ministry officials

In particular, missile complexes with Western designations:
📍 KN-23 (actually a clone of the Iskander-M operational-tactical missile complex, range estimated at as much as 600 km);
📍 KN-24 (a clone of the US ATACMS operational-tactical missile system, known test range is as high as 410 km);
📍 Large precision-guided missiles with an estimated range of up to 380 km (pictured).

Since August, some 2,000 containers of ammunition have been shipped to Russia via the North Korean port of Rason. It is also possible that the DPRK has sent missiles for the guns of old T-55 and T-62 tanks.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd44wZI7wh/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:21:38.000Z",,"6","0"
"Make art not war

#warpigs #stopwar #isrealpalestineconflict #makelovenotwar #instadailypost❤️","https://www.instagram.com/p/Czd3cU5phHM/","Space Bounce","spacebounce_poetry","2023-11-10T13:09:01.000Z","Gaza,Palestine","10","0"
"Dalam rangka upaya ikut serta menyuarakan hari nurani dalam kaitanya dalam martabat luhur manusia dan budaya kehidupan bab III A dan B, maka inilah ajakan kami pada dunia untuk menyuarakan anti kekerasan (tugas ajakan anti kekerasan) 🙅💣💥

Sesuai urutan slide :
1. Tisha 9E / 19
2. Bian 9E / 4
3. Eiffel 9E / 6
4. Selyn 9E / 15
5. Cecillia 9E / 16

@adimbahgendheng #pendidikan #domenicosavio #stopwar #stopkekerasan #luarbasa #pendidikankarakter","https://www.instagram.com/p/Czd3xoZyobe/","𝟗𝐄","9excellent.domsav","2023-11-10T13:11:55.000Z",,"5","0"
"Peace .. سلام .. stop the killing 🕊️🙏💛 #freepalestine #stopwar #stopgenocide #savethechildern #peace #love #healtheworld #coco #cocolosa #cocolove #cococharm #wespreadlove #dogsofinstagram #dogslove #dogslife #pekilove #pekingeseambassador #doginfluencer #doginsta #petstagram #petslove #petslife #pekineses #happinesstoall","https://www.instagram.com/p/Czd7BikITIq/","Coco Losa","imcocolosa","2023-11-10T13:40:18.000Z",,"3","0"
"#すき焼き定食
#やよい軒
#RENO5A
#コロナに負けるな!
#StopWar","https://www.instagram.com/p/Czd2zeuS21r/","くりむしようかん","neo.tokkee","2023-11-10T13:03:26.000Z",,"6","0"
"Ukraińskie siły zbrojne odcięły drogę Oleszki-Nowa Kachowka na co najmniej dwóch odcinkach - podaje ISW

Ukraińskie wojska przejęły kontrolę nad nowymi pozycjami w Krynkach i kontynuowały ataki w okolicach Pojmy, Pischanki i Pidstepne.

Zauważono również, że rosyjskie dowództwo wojskowe prawdopodobnie będzie miało trudności z przesunięciem posiłków gotowych do walki w odpowiedzi na ukraińskie operacje w obwodzie chersońskim.

Ukrainian armed forces have cut off the Oleshki-Nova Kakhovka road in at least two sections, reports ISW

Ukrainian forces took control of new positions in Krynki and continued attacks in the Pojma, Pischanka and Pidstepne areas.

It was also noted that the Russian military command is likely to find it difficult to redeploy combat-ready reinforcements in response to Ukrainian operations in the Kherson region.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd4cuOIXCA/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:17:48.000Z",,"3","0"
"dalam rangka upaya ikut serta menyuarakan hari nurani dalam kaitanya dalam martabat luhur manusia dan budaya kehidupan bab III A dan B, maka inilah ajakan kami pada dunia untuk menyuarakan anti kekerasan (tugas ajakan anti kekerasan) 🙅💣💥

Sesuai urutan slide :
1. Ana 9E / 1
2. Rafaela 9E / 24
3. Henke 9E / 14
4. Ellen 9E / 7
5. Rere 9E / 25

@adimbahgendheng #pendidikan #domenicosavio #stopwar #stopkekerasan #luarbasa #pendidikankarakter","https://www.instagram.com/p/Czd3k3_STwI/","𝟗𝐄","9excellent.domsav","2023-11-10T13:10:11.000Z",,"6","0"
"Huwa Allahu Wahid ☝🏻 Allahuakbar 🔥
#allahuakbar #savegaza #savepalestinagaza #savegazachildren #savepalestinechildren #savepalestine #stopwar #stopwarcrimes #standwithpalestine #freegaza #freepalestine #palestinewillbefree #palestine #palestine🇵🇸 #palestina ##gaza #alquds #yerusalem #fypシ #fyp  #viralreels #viralvideos #fypage #viral #reels #viralindonesia  #indonesiaviral #indonesia #indonesia🇮🇩","https://www.instagram.com/p/Czd2xxMS6q1/","reza","reza_yudayana","2023-11-10T13:03:12.000Z",,"1","0"
"Brampton, Cumbria #poppies #rememberance #remberanceday #armistice #peace #ceasefire #stopwar","https://www.instagram.com/p/Czd2NOHI_hr/","Good for the Soul","bettyroulis","2023-11-10T12:58:13.000Z","Brampton, Cumbria, United Kingdom","1","0"
"I always think and pray for you 
🇺🇦🕊🇯🇵
We need peace not war
🕊🇺🇦🕊
Stop the war

The sunflowers I post every day are from Nara Japan. 

#sunflowerfromjapanプロジェクト #sunflowerfromjapan #prayforukraine #nowar #loveukraine#stopwar #peace #peaceforukraine #ukraine #sunflowerfromjapan #ウクライナ #ウクライナに平和を #平和 #平和を願う","https://www.instagram.com/p/Czd2cwsJDuk/","Yuko","yuko.arakawa.37","2023-11-10T13:00:20.000Z",,"5","1"
"Enough #destruction
Enough #war
Enough #genocide 
Enough #killing 
Enough #bombing
Enough #damage
Enough #fire
Enough #terrorist
Enough #Massacre
Enough #Displacement
Enough #murder 

#gaza #savepalestine #stopwar #genocideingaza","https://www.instagram.com/p/CzdyxWZMf0t/","Nadine Zahreddine","nadinezarte","2023-11-10T12:28:11.000Z",,"-1","0"
"За даними Житомирського ТЦК, мобілізований, який зараз служить в роті охорони Житомирського об’єднаного міського ТЦ та СП, раніше захищав Україну на передових позиціях в складі 95-ї окремої бригади ДШВ та отримав поранення.
___
Детальніше читайте за посиланням в біо та підписуйтесь на @bykvu

#новини #новиниукраїни #війна #росіяагресор #україна #StayWithUkraine #Ukraine #StayTogether #StandTogether #StopRussia #StopWar","https://www.instagram.com/p/Czd3iGOIJB9/","Букви/Bykvu","bykvu","2023-11-10T13:09:48.000Z","Житомир","1350","210"
"Суд ухвалив нове рішення в справі Коломойського: адвокати скаржилися на погіршення стану здоровʼя олігарха

Шевченківський суд Києва залишив під вартою українського олігарха Ігоря Коломойського. На засіданні 10 листопада судді розглядали клопотання адвокатів щодо зміни запобіжного заходу

27 жовтня суд задовольнив клопотання прокурорів і продовжив запобіжний захід для олігарха у вигляді тримання під вартою на 60 діб, до 27 грудня

Перед цим суд відмовив Коломойському в клопотанні про зміну запобіжного заходу на домашній арешт. Він залишився у СІЗО з можливістю внесення застави 3,8 млрд. грн

#ObozUA #Obozrevatel #Обозреватель #news #Ukraine #Україна #StopWar #StopRussia #war #warinukraine #ЗСУ #СлаваУкраїні #УкраїнаПереможе #СлаваЗСУ","https://www.instagram.com/p/Czd28HZsKvT/","Obozrevatel.ua","obozrevatel.ua","2023-11-10T13:04:37.000Z",,"8","0"
"#istandwithpalestine 
#freepalestine 
#ilovefreedom 
#stopwar","https://www.instagram.com/p/Czd0DkYxOyG/","vivin ervina","vivin_rvina","2023-11-10T12:39:25.000Z",,"11","1"
"Naya and her Watermelon. One of Naya fav fruits. 

#🍉🍉🍉 #freepalestine #westandwithpalestine #stopwar","https://www.instagram.com/p/Czdxs-Txdy5/","Kintan Prana Astrini","kintanprana","2023-11-10T12:18:51.000Z",,"16","2"
"Ukraina nie otrzymuje przewagi militarnej, czas jest teraz na korzyść Federacji Rosyjskiej – stwierdził Prezydent Czech Petr Pavel

„Negocjacje mogłyby rozpocząć się w przyszłym roku, gdyż rozwój sytuacji nie wskazuje na to, aby strona ukraińska mogła uzyskać przewagę militarną. Czas działa teraz na korzyść Rosji, która ma silniejszą bazę mobilizacyjną pod względem siły roboczej. Zyskując czas, będzie mogła także uzupełnić bazę materialną, której od dawna jej brakowało” – powiedział Prezydent Czech.

Według niego Rosja otrzymuje obecnie ogromne dostawy z Korei Północnej.

Ukraine is not getting a military advantage, the timing is now in the Russian Federation's favour, said Czech President Petr Pavel

""Negotiations could start next year, as developments do not indicate that the Ukrainian side can gain a military advantage. Time is now working in favour of Russia, which has a stronger mobilisation base in terms of manpower. By gaining time, it will also be able to replenish the material base it has long lacked,"" - said the Czech President.

According to him, Russia is currently receiving huge supplies from North Korea.

#instadaily #ukraine #kyiv #lviv #odessa #kharkiv #russiaisaterroriststate #me #mariupol #followme #stoprussia #stopwar #followforfollowback #zhytomyr #putin #photography #photographer#photooftheday #work #instagram #news #krym #tbt #nikolaev #kherson #wojna #stopwarukraine#igers#potd#life","https://www.instagram.com/p/Czd7KWhoHOo/","Kroniki Wojenne","ukrainabezcenzury","2023-11-10T13:41:31.000Z",,"2","0"
"#freepalestine  #freepalestine🇵🇸 #gazaunderattack  #gaza #stopwar #stopgenocideingaza #stopgenocide","https://www.instagram.com/p/CzdyIcfsYZ8/","Hanan gobran","hanan_gobran","2023-11-10T12:22:36.000Z",,"1","0"
